"Abbrev","Full Title","Trnsl. Title","Publ.","ISSN","New","High Density","Book Ser"
"J. Eur. Math. Soc. (JEMS)","Journal of the European Mathematical Society (JEMS)","","Eur. Math. Soc., Zurich.","1435-9855","N","Y","N"
"J. Evol. Equ.","Journal of Evolution Equations","","Birkhauser Verlag, Basel.","1424-3199","N","Y","N"
"J. Fac. Sci. Shinshu Univ.","Journal of the Faculty of Science. Shinshu University","","Shinshu Univ., Matsumoto.","0583-063X","N","N","N"
"J. Fixed Point Theory Appl.","Journal of Fixed Point Theory and Applications","","Birkhauser Verlag, Basel.","1661-7738","N","Y","N"
"J. Fluid Mech.","Journal of Fluid Mechanics","","Cambridge Univ. Press, Cambridge.","0022-1120","N","N","N"
"J. Forecast.","Journal of Forecasting","","Wiley, Chichester.","0277-6693","N","N","N"
"J. Formaliz. Reason.","Journal of Formalized Reasoning","","Univ. Bologna, CIB Centro Inter-Biblio., Bologna.","1972-5787","N","N","N"
"J. Fourier Anal. Appl.","The Journal of Fourier Analysis and Applications","","Birkhauser Boston, Inc., Cambridge, MA.","1069-5869","N","Y","N"
"J. Fract. Calc. Appl.","Journal of Fractional Calculus and Applications","","Fract. Calc. Appl. Group, Alexandria.","2090-584X","N","Y","N"
"J. Fractal Geom.","Journal of Fractal Geometry. Mathematics of Fractals and Related Topics","","Eur. Math. Soc., Zurich.","2308-1309","N","Y","N"
"J. Franklin Inst.","Journal of the Franklin Institute. Engineering and Applied Mathematics","","Elsevier Ltd, Oxford.","0016-0032","N","N","N"
"J. Fudan Univ. Nat. Sci.","Fudan University. Journal. Natural Science. Fudan Xuebao. Ziran Kexue Ban","","J. Fudan Univ. (Nat. Sci.), Edit. Board, Shanghai.","0427-7104","N","N","N"
"J. Funct. Anal.","Journal of Functional Analysis","","Elsevier B. V., Amsterdam.","0022-1236","N","Y","N"
"J. Funct. Programming","Journal of Functional Programming","","Cambridge Univ. Press, Cambridge.","0956-7968","N","N","N"
"J. Funct. Spaces","Journal of Function Spaces","","Hindawi Publ. Corp., New York.","2314-8896","N","Y","N"
"J. Fuzhou Univ. Nat. Sci. Ed.","Journal of Fuzhou University. Natural Science Edition. Fuzhou Daxue Xuebao. Ziran Kexue Ban","","J. Fuzhou Univ., Editor. Dept., Fuzhou.","1000-2243","N","N","N"
"J. Gen. Lie Theory Appl.","Journal of Generalized Lie Theory and Applications","","Ashdin Publ., Springfield Gardens, NY.","1736-5279","N","Y","N"
"J. Gen. Philos. Sci.","Journal for General Philosophy of Science. Zeitschrift fur Allgemeine Wissenschaftstheorie","","Springer, Dordrecht.","0925-4560","N","N","N"
"J. Geom.","Journal of Geometry","","Birkhauser Verlag, Basel.","0047-2468","N","Y","N"
"J. Geom. Anal.","Journal of Geometric Analysis","","Springer, New York.","1050-6926","N","Y","N"
"J. Geom. Graph.","Journal for Geometry and Graphics","","Heldermann, Lemgo.","1433-8157","N","N","N"
"J. Geom. Mech.","Journal of Geometric Mechanics","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","1941-4889","N","Y","N"
"J. Geom. Phys.","Journal of Geometry and Physics","","Elsevier B. V., Amsterdam.","0393-0440","N","Y","N"
"J. Geom. Symmetry Phys.","Journal of Geometry and Symmetry in Physics","","J. Geom. Symmetry Phys., Sofia.","1312-5192","N","N","N"
"J. Global Optim.","Journal of Global Optimization. An International Journal Dealing with Theoretical and Computational Aspects of Seeking Global Optima and Their Applications in Science, Management and Engineering","","Springer, Secaucus, NJ.","0925-5001","N","Y","N"
"J. Gokova Geom. Topol. GGT","Journal of Gokova Geometry Topology. GGT","","J. Gokova Geom. Topol. GGT, Place of publication not identified.","1935-2565","N","Y","N"
"J. Graph Algorithms Appl.","Journal of Graph Algorithms and Applications","","J. Graph. Algorithms Appl., Providence, RI.","1526-1719","N","N","N"
"J. Graph Theory","Journal of Graph Theory","","Wiley, Hoboken, NJ.","0364-9024","N","Y","N"
"J. Group Theory","Journal of Group Theory","","De Gruyter, Berlin.","1433-5883","N","Y","N"
"J. Harbin Eng. Univ.","Journal of Harbin Engineering University. Harbin Gongcheng Daxue Xuebao","","J. Harbin Eng. Univ., Editor. Dep., Harbin.","1006-7043","N","N","N"
"J. Harbin Inst. Tech.","Journal of Harbin Institute of Technology. Harbin Gongye Daxue Xuebao","","J. Harbin Inst. Tech., Editor. Board, Harbin.","0367-6234","N","N","N"
"J. Hefei Univ. Technol. Nat. Sci.","Journal of Hefei University of Technology. Natural Science. Hefei Gongye Daxue Xuebao. Ziran Kexue Ban","","Press Jl. HUT, Hefei.","1003-5060","N","N","N"
"J. High Energy Phys.","Journal of High Energy Physics","","Springer, Berlin.","1126-6708","N","N","N"
"J. Hohai Univ.","Journal of Hohai University. Natural Sciences. Hohai Daxue Xuebao. Ziran Kexue Ban","","J. Hohai Univ., Editor. Board, Nanjing.","1000-1980","N","N","N"
"J. Hokkaido Univ. Educ. Nat. Sci.","Journal of Hokkaido University of Education. Natural Sciences","","Hokkaido Univ. Ed., Sapporo.","1344-2570","N","N","N"
"J. Homotopy Relat. Struct.","Journal of Homotopy and Related Structures","","Springer, Berlin.","2193-8407","N","Y","N"
"J. Huazhong Norm. Univ. Nat. Sci.","Journal of Huazhong Normal University. Natural Sciences. Huazhong Shifan Daxue Xuebao. Ziran Kexue Ban","","J. Huazhong Norm. Univ., Ed. Dept., Wuchang.","1000-1190","N","N","N"
"J. Huazhong Univ. Sci. Technol. Nat. Sci.","Journal of Huazhong University of Science and Technology. Natural Science Edition. Huazhong Keji Daxue Xuebao. Ziran Kexue Ban","","J. Huazhong Univ. Sci. Tech. Editor. Board, Wuhan.","1671-4512","N","N","N"
"J. Humanist. Math.","Journal of Humanistic Mathematics","","Claremont Cent. Math. Sci., Claremont, CA.","2159-8118","N","N","N"
"J. Hunan Univ. Nat. Sci.","Journal of Hunan University. Natural Sciences. Hunan Daxue Xuebao. Ziran Kexue Ban","","J. Hunan Univ., Editor. Dept., Changsha.","1674-2974","N","N","N"
"J. Hyperbolic Differ. Equ.","Journal of Hyperbolic Differential Equations","","World Sci. Publ., Singapore.","0219-8916","N","Y","N"
"J. Hyperstruct.","Journal of Hyperstructures","","Univ. Mohaghegh Ardabili, Ardabil.","2251-8436","Y","N","N"
"J. Ind. Manag. Optim.","Journal of Industrial and Management Optimization","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","1547-5816","N","Y","N"
"J. Indian Inst. Sci.","Journal of the Indian Institute of Science. A Multidisciplinary Reviews Journal","","Indian Inst. Sci., Bangalore.","0970-4140","N","N","N"
"J. Indian Math. Soc. (N.S.)","The Journal of the Indian Mathematical Society. New Series","","Indian Math. Soc., Vadodara.","0019-5839","N","Y","N"
"J. Indian Soc. Agricultural Statist.","Journal of the Indian Society of Agricultural Statistics","","Indian Soc. Agricultural Statist., New Delhi.","0019-6363","N","N","N"
"J. Indian Statist. Assoc.","Journal of the Indian Statistical Association","","Indian Statist. Assoc., Pune.","0537-2585","N","N","N"
"J. Indones. Math. Soc.","Journal of the Indonesian Mathematical Society","","Indones. Math. Soc., Bandung.","2086-8952","N","Y","N"
"J. Inequal. Appl.","Journal of Inequalities and Applications","","Springer, Berlin.","1029-242X","N","Y","N"
"J. Inequal. Spec. Funct.","Journal of Inequalities and Special Functions","","Ilirias Publ., Pristina.","2217-4303","N","N","N"
"J. Inf. Optim. Sci.","Journal of Information and Optimization Sciences","","Taylor & Francis, Abingdon.","0252-2667","N","N","N"
"J. Inn. Mong. Norm. Univ. Nat. Sci.","Journal of Inner Mongolia Normal University. Nei Mongol Shifan Daxue Xuebao. Ziran Kexue. Hanwen Ban","","J. Inner Mongolia Normal Univ., Editor. Dept., Hohhot.","1001-8735","N","N","N"
"J. Inn. Mong. Univ. Nat. Sci.","Journal of Inner Mongolia University. Natural Science Edition","","J. Inner Mongolia Univ., Ed. Dept., Hohhot.","1000-1638","N","N","N"
"J. Inst. Math. Comput. Sci. Comput. Sci. Ser.","Institute of Mathematics & Computer Sciences. Journal. (Computer Science Series)","","Inst. Math. Comput. Sci., Calcutta.","","N","N","N"
"J. Inst. Math. Jussieu","Journal of the Institute of Mathematics of Jussieu. JIMJ. Journal de l'Institut de Mathematiques de Jussieu","","Cambridge Univ. Press, Cambridge.","1474-7480","N","Y","N"
"J. Int. Acad. Phys. Sci.","Journal of International Academy of Physical Sciences","","Int. Acad. Phys. Sci., Allahabad.","0974-9373","N","N","N"
"J. Int. Math. Virtual Inst.","Journal of International Mathematical Virtual Institute","","IMVI Sci. Soc. Math. Banja Luka, Banja Luka.","2303-4866","N","N","N"
"J. Integer Seq.","Journal of Integer Sequences","","J. Integer Seq., Waterloo, ON.","1530-7638","N","Y","N"
"J. Integral Equations Appl.","Journal of Integral Equations and Applications","","Rocky Mountain Math. Consortium, Tempe, AZ.","0897-3962","N","Y","N"
"J. Intell. Fuzzy Systems","Journal of Intelligent & Fuzzy Systems. Applications in Engineering and Technology","","IOS, Amsterdam.","1064-1246","N","N","N"
"J. Interpolat. Approx. Sci. Comput.","Journal of Interpolation and Approximation in Scientific Computing","","Int. Sci. Publ. Consult. Serv. ISPACS, Mannheim.","2194-3907","N","Y","N"
"J. Inverse Ill-Posed Probl.","Journal of Inverse and Ill-Posed Problems","","De Gruyter, Berlin.","0928-0219","N","Y","N"
"J. Iran. Stat. Soc. (JIRSS)","Journal of the Iranian Statistical Society. (JIRSS)","","Iran. Stat. Soc., Tehran.","1726-4057","N","N","N"
"J. Japan Statist. Soc.","Journal of the Japan Statistical Society (Nihon Tokei Gakkai Kaiho)","","Japan Statist. Soc., Tokyo.","1882-2754","N","N","N"
"J. Japanese Soc. Comput. Statist.","Journal of the Japanese Society of Computational Statistics","","Japan. Soc. Comput. Statist., Tokyo.","0915-2350","N","Y","N"
"J. Jilin Univ. Sci.","Journal of Jilin University. Science Edition. Jilin Daxue Xuebao. Lixue Ban","","Jilin Univ. J. Sci., Ed. Dep., Changchun.","1671-5489","N","N","N"
"J. Jinan Univ. Nat. Sci. Med.","Journal of Jinan University. Natural Science & Medicine Edition. Jinan Daxue Xuebao. Ziran Kexue yu Yixue Ban","","J. Jinan Univ., Ed. Dept., Guangzhou.","1000-9965","N","N","N"
"J. Jpn. Stat. Soc. Jpn. Issue","Journal of the Japan Statistical Society. Japanese Issue","","Japan Statist. Soc., Tokyo.","0389-5602","N","N","N"
"J. Knot Theory Ramifications","Journal of Knot Theory and its Ramifications","","World Sci. Publ., Singapore.","0218-2165","N","Y","N"
"J. Korean Math. Soc.","Journal of the Korean Mathematical Society","","Korean Math. Soc., Seoul.","0304-9914","N","Y","N"
"J. Korean Soc. Ind. Appl. Math.","Journal of the Korean Society for Industrial and Applied Mathematics","","Korean Society for Industrial and Applied Mathematics, Taejon.","1226-9433","N","N","N"
"J. Korean Soc. Math. Educ. Ser. B Pure Appl. Math.","Journal of the Korean Society of Mathematical Education. Series B. The Pure and Applied Mathematics","","Korean Soc. Math. Educ., Seoul.","1226-0657","N","Y","N"
"J. Korean Statist. Soc.","Journal of the Korean Statistical Society","","Korean Statist. Soc., Seoul.","1226-3192","N","N","N"
"J. Lie Theory","Journal of Lie Theory","","Heldermann, Lemgo.","0949-5932","N","Y","N"
"J. Log. Algebr. Methods Program.","Journal of Logical and Algebraic Methods in Programming","","Elsevier B. V., Amsterdam.","2352-2208","Y","Y","N"
"J. Log. Anal.","Journal of Logic and Analysis","","J. Logic Anal., Honolulu, HI.","1759-9008","N","Y","N"
"J. Log. Lang. Inf.","Journal of Logic, Language and Information","","Springer, Dordrecht.","0925-8531","N","N","N"
"J. Logic Comput.","Journal of Logic and Computation","","Oxford Univ. Press, Oxford.","0955-792X","N","Y","N"
"J. Lond. Math. Soc. (2)","Journal of the London Mathematical Society. Second Series","","London Math. Soc., London.","0024-6107","N","Y","N"
"J. Mach. Learn. Res.","Journal of Machine Learning Research (JMLR)","","J. Mach. Learn. Res., Cambridge, MA.","1532-4435","N","N","N"
"J. Math.","Journal of Mathematics","","Hindawi Publ. Corp., New York.","2314-4629","N","Y","N"
"J. Math. Anal.","Journal of Mathematical Analysis","","Ilirias Publ., Pristina.","2217-3412","N","N","N"
"J. Math. Anal. Appl.","Journal of Mathematical Analysis and Applications","","Elsevier, Inc., Amsterdam.","0022-247X","N","Y","N"
"J. Math. Anal. Approx. Theory","Journal of Mathematical Analysis and Approximation Theory","","Ser. Publ., New Delhi.","0973-5119","N","Y","N"
"J. Math. Appl.","Journal of Mathematics and Applications","","Publ. House Rzeszow Univ. Technol., Rzeszow.","1733-6775","N","Y","N"
"J. Math. Arts","Journal of Mathematics and the Arts","","Taylor & Francis, Abingdon.","1751-3472","N","N","N"
"J. Math. Biol.","Journal of Mathematical Biology","","Springer, Heidelberg.","0303-6812","N","Y","N"
"J. Math. Chem.","Journal of Mathematical Chemistry","","Springer, Dordrecht.","0259-9791","N","N","N"
"J. Math. Cryptol.","Journal of Mathematical Cryptology","","De Gruyter, Berlin.","1862-2976","N","Y","N"
"J. Math. Econom.","Journal of Mathematical Economics","","Elsevier Sci. B. V., Amsterdam.","0304-4068","N","Y","N"
"J. Math. Ext.","Journal of Mathematical Extension","","Islamic Azad University, Shiraz Branch, Shiraz.","1735-8299","N","N","N"
"J. Math. Fluid Mech.","Journal of Mathematical Fluid Mechanics","","Birkhauser Verlag, Basel.","1422-6928","N","Y","N"
"J. Math. Fundam. Sci.","Journal of Mathematical and Fundamental Sciences","","Inst. Tek. Bandung, Inst. Res. Community Srvs., Bandung.","2337-5760","N","N","N"
"J. Math. Imaging Vision","Journal of Mathematical Imaging and Vision","","Springer, New York.","0924-9907","N","N","N"
"J. Math. Ind.","Journal of Mathematics in Industry","","Springer, Berlin.","2190-5983","N","N","N"
"J. Math. Inequal.","Journal of Mathematical Inequalities","","ELEMENT, Zagreb.","1846-579X","N","Y","N"
"J. Math. Log.","Journal of Mathematical Logic","","World Sci. Publ., Singapore.","0219-0613","N","Y","N"
"J. Math. Model.","Journal of Mathematical Modeling","","Univ. Guilan, Rasht.","2345-394X","Y","N","N"
"J. Math. Model. Algorithms Oper. Res.","Journal of Mathematical Modelling and Algorithms in Operations Research","","Springer, Dordrecht.","2214-2487","N","N","N"
"J. Math. Music","Journal of Mathematics & Music. Mathematical and Computational Approaches to Music Theory, Analysis, Composition and Performance","","Taylor & Francis, Abingdon.","1745-9737","N","N","N"
"J. Math. Neurosci.","Journal of Mathematical Neuroscience","","Springer, Berlin.","2190-8567","N","N","N"
"J. Math. Phys.","Journal of Mathematical Physics","","Amer. Inst. Phys., Melville, NY.","0022-2488","N","Y","N"
"J. Math. Psych.","Journal of Mathematical Psychology","","Elsevier B. V., Amsterdam.","0022-2496","N","N","N"
"J. Math. Pures Appl. (9)","Journal de Mathematiques Pures et Appliquees. Neuvieme Serie","","Elsevier B. V., Amsterdam.","0021-7824","N","Y","N"
"J. Math. Res. Appl.","Journal of Mathematical Research with Applications","","J. Math. Res. Appl., Editor. Office, Dalian.","2095-2651","N","Y","N"
"J. Math. Sci. Adv. Appl.","Journal of Mathematical Sciences. Advances and Applications","","Sci. Adv. Publ., Allahabad.","0974-5750","N","N","N"
"J. Math. Sci. (Dattapukur)","Journal of Mathematical Sciences (Dattapukur)","","Int. Centre Adv. Stud., Dattapukur.","0974-5548","N","N","N"
"J. Math. Sci. (N. Y.)","Journal of Mathematical Sciences (New York)","","Springer, New York.","1072-3374","N","N","N"
"J. Math. Sci. Univ. Tokyo","The University of Tokyo. Journal of Mathematical Sciences","","Univ. Tokyo, Tokyo.","1340-5705","N","Y","N"
"J. Math. Soc. Japan","Journal of the Mathematical Society of Japan","","Math. Soc. Japan, Tokyo.","0025-5645","N","Y","N"
"J. Math. Sociol.","Journal of Mathematical Sociology","","Routledge, Taylor & Francis, Inc., Philadelphia, PA.","0022-250X","N","N","N"
"J. Math. Study","Journal of Mathematical Study. Shuxue Yanjiu","","Glob. Sci. Pr., Shatin.","1006-6837","N","Y","N"
"J. Math. Univ. Tokushima","Journal of Mathematics. The University of Tokushima","","Univ. Tokushima, Tokushima.","1346-7387","N","Y","N"
"J. Mech. Phys. Solids","Journal of the Mechanics and Physics of Solids","","Elsevier Ltd, Oxford.","0022-5096","N","N","N"
"J. Mod. Dyn.","Journal of Modern Dynamics","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","1930-5311","N","Y","N"
"J. Mod. Math. Stat.","Journal of Modern Mathematics and Statistics","","Medwell Journals, Faisalabad.","1994-5388","N","N","N"
"J. Mod. Methods Numer. Math.","Journal of Modern Methods in Numerical Mathematics","","Mod. Sci. Publ., Qena.","2090-4770","Y","N","N"
"J. Modern Opt.","Journal of Modern Optics","","Taylor & Francis, Abingdon.","0950-0340","N","N","N"
"J. Mult.-Valued Logic Soft Comput.","Journal of Multiple-Valued Logic and Soft Computing","","Old City Publ., Philadelphia, PA.","1542-3980","N","N","N"
"J. Multiscale Model.","Journal of Multiscale Modelling","","Imp. Coll. Press, London.","1756-9737","N","N","N"
"J. Multivariate Anal.","Journal of Multivariate Analysis","","Elsevier, Inc., Amsterdam.","0047-259X","N","Y","N"
"J. Nanjing Norm. Univ. Nat. Sci. Ed.","Journal of Nanjing Normal University. Natural Science Edition. Nanjing Shida Xuebao. Ziran Kexue Ban","","J. Nanjing Norm. Univ., Editor. Dept., Nanjing.","1001-4616","N","N","N"
"J. Nanjing Univ. Nat. Sci.","Journal of Nanjing University. Natural Sciences","","J. Nanjing Univ., Editor. Board, Nanjing.","0469-5097","N","N","N"
"J. Nat. Sci. Hunan Norm. Univ.","Journal of Natural Science of Hunan Normal University. Hunan Shifan Daxue Ziran Kexue Xuebao","","J. Hunan Norm. Univ., Editor. Dept., Changsha.","1000-2537","N","N","N"
"J. Nat. Sci. Nanjing Norm. Univ.","Journal of Natural Science. Nanjing Normal University","","J. Nanjing Norm. Univ., Editor. Dept., Nanjing.","1001-4616","N","N","N"
"J. Nigerian Math. Soc.","Journal of the Nigerian Mathematical Society","","Nigerian Math. Soc., Nsukka.","0189-8965","N","Y","N"
"J. Non-Newton. Fluid Mech.","Journal of Non-Newtonian Fluid Mechanics","","Elsevier B. V., Amsterdam.","0377-0257","Y","N","N"
"J. Noncommut. Geom.","Journal of Noncommutative Geometry","","Eur. Math. Soc., Zurich.","1661-6952","N","Y","N"
"J. Nonlinear Anal. Optim.","Journal of Nonlinear Analysis and Optimization. Theory and Applications","","Naresuan Univ., Phitsanulok.","1906-9685","N","N","N"
"J. Nonlinear Convex Anal.","Journal of Nonlinear and Convex Analysis. An International Journal","","Yokohama Publ., Yokohama.","1345-4773","N","Y","N"
"J. Nonlinear Evol. Equ. Appl.","Journal of Nonlinear Evolution Equations and Applications","","J. Nonlinear Evol. Equ. Appl., Baltimore, MD.","2161-3680","N","Y","N"
"J. Nonlinear Funct. Anal. Differ. Equ.","Journal of Nonlinear Functional Analysis and Differential Equations","","Ser. Publ., New Delhi.","0973-5224","N","Y","N"
"J. Nonlinear Math. Phys.","Journal of Nonlinear Mathematical Physics","","Taylor & Francis, Basingstoke.","1402-9251","N","Y","N"
"J. Nonlinear Sci.","Journal of Nonlinear Science","","Springer, New York.","0938-8974","N","N","N"
"J. Nonlinear Sci. Appl.","Journal of Nonlinear Science and its Applications. JNSA","","J. Nonlinear Sci. Appl., Amol.","2008-1898","N","N","N"
"J. Nonparametr. Stat.","Journal of Nonparametric Statistics","","Taylor & Francis, Abingdon.","1048-5252","N","Y","N"
"J. Northeast. Univ. Nat. Sci.","Journal of Northeastern University. Natural Science. Dongbei Daxue Xuebao. Ziran Kexue Ban","","J. Northeastern Univ., Editor. Dept., Shenyang.","1005-3026","N","N","N"
"J. Northwest Univ. Nat. Sci.","Journal of Northwest University. Natural Science Edition. Xibei Daxue Xuebao. Ziran Kexue Ban","","Sci. Press Beijing, Beijing.","1000-274X","N","N","N"
"J. Number Theory","Journal of Number Theory","","Elsevier B. V., Amsterdam.","0022-314X","N","Y","N"
"J. Numbers","Journal of Numbers","","Hindawi Publ. Corp., New York.","2356-7511","Y","Y","N"
"J. Numer. Math.","Journal of Numerical Mathematics","","De Gruyter, Berlin.","1570-2820","N","Y","N"
"J. Numer. Math. Stoch.","Journal of Numerical Mathematics and Stochastics","","Euclidean Press, Beirut.","2151-2302","N","N","N"
"J. Numer. Methods Comput. Appl.","Journal on Numerical Methods and Computer Applications","","J. Numer. Methods Comput. Appl., Ed. Dept., Beijing.","1000-3266","N","N","N"
"J. Ocean Univ. China Nat. Sci.","Journal of Ocean University of China. Natural Science Edition. Zhongguo Haiyang Daxue Xuebao. Ziran Kexue Ban","","J. Ocean Univ. China, Qingdao.","1672-5174","N","N","N"
"J. Oper.","Journal of Operators","","Hindawi Publ. Corp., New York.","2314-5064","N","Y","N"
"J. Oper. Res. Soc. China","Journal of the Operations Research Society of China","","Springer, Berlin.","2194-668X","N","N","N"
"J. Oper. Res. Soc. Japan","Journal of the Operations Research Society of Japan","","Oper. Res. Soc. Japan, Tokyo.","0453-4514","N","N","N"
"J. Operator Theory","Journal of Operator Theory","","Theta Found., Bucharest.","0379-4024","N","Y","N"
"J. Optim.","Journal of Optimization","","Hindawi Publ. Corp., New York.","2356-752X","Y","N","N"
"J. Optim. Theory Appl.","Journal of Optimization Theory and Applications","","Springer, New York.","0022-3239","N","Y","N"
"J. Orissa Math. Soc.","Journal of the Orissa Mathematical Society","","Orissa Math. Soc., Bhubaneswar.","0975-2323","N","N","N"
"J. Partial Differ. Equ.","Journal of Partial Differential Equations","","Glob. Sci. Pr., Shatin.","1000-940X","N","Y","N"
"J. Philos. Logic","Journal of Philosophical Logic","","Springer, Dordrecht.","0022-3611","N","Y","N"
"J. Phys. A","Journal of Physics. A. Mathematical and Theoretical","","Inst. Phys., Bristol.","1751-8113","N","N","N"
"J. Phys. Sci.","Journal of Physical Science","","Vidyasagar Univ., Midnapore.","0972-8791","N","N","N"
"J. Phys. Stud.","Journal of Physical Studies. Zhurnal Fizichnykh Doslidzhen","","West Ukr. Phys. Soc., Lviv.","1027-4642","N","N","N"
"J. Prime Res. Math.","Journal of Prime Research in Mathematics","","Abdus Salam School Math. Sci., Lahore.","1817-2725","N","Y","N"
"J. Probab.","Journal of Probability","","Hindawi Publ. Corp., New York.","2356-7589","Y","N","N"
"J. Probab. Stat.","Journal of Probability and Statistics","","Hindawi Publ. Corp., New York.","1687-952X","N","N","N"
"J. Pseudo-Differ. Oper. Appl.","Journal of Pseudo-Differential Operators and Applications","","Birkhauser Verlag, Basel.","1662-9981","N","Y","N"
"J. Pure Appl. Algebra","Journal of Pure and Applied Algebra","","Elsevier B. V., Amsterdam.","0022-4049","N","Y","N"
"J. Pure Appl. Math. Adv. Appl.","Journal of Pure and Applied Mathematics. Advances and Applications","","Sci. Adv. Publ., Allahabad.","0974-9381","N","Y","N"
"J. Pure Math.","Journal of Pure Mathematics","","Univ. Calcutta, Calcutta.","2277-355X","N","Y","N"
"J. Quant. Econ.","Journal of Quantitative Economics. Jingji Shuxue","","Journal of Quantitative Economics, Editorial Department, Changsha.","1007-1660","Y","N","N"
"J. R. Stat. Soc. Ser. B. Stat. Methodol.","Journal of the Royal Statistical Society. Series B. Statistical Methodology","","Roy. Statist. Soc., London.","1369-7412","N","Y","N"
"J. R. Stat. Soc. Ser. C. Appl. Stat.","Journal of the Royal Statistical Society. Series C. Applied Statistics","","Wiley-Blackwell, Oxford.","0035-9254","N","N","N"
"J. Rajasthan Acad. Phys. Sci.","Journal of Rajasthan Academy of Physical Sciences","","Rajasthan Acad. Phys. Sci., Jaipur.","0972-6306","N","N","N"
"J. Ramanujan Math. Soc.","Journal of the Ramanujan Mathematical Society","","Ramanujan Math. Soc., Mysore.","0970-1249","N","Y","N"
"J. Reine Angew. Math.","Journal fur die Reine und Angewandte Mathematik. [Crelle's Journal]","","De Gruyter, Berlin.","0075-4102","N","Y","N"
"J. Roy. Statist. Soc. Ser. A","Journal of the Royal Statistical Society. Series A. Statistics in Society","","Roy. Statist. Soc., London.","0964-1998","N","N","N"
"J. Satisf. Boolean Model. Comput.","Journal on Satisfiability, Boolean Modeling and Computation","","SAT Assoc., Place of publication not identified.","1574-0617","Y","N","N"
"J. Sched.","Journal of Scheduling","","Springer, New York.","1094-6136","N","N","N"
"J. Sci. Arts","Journal of Science and Arts","","Valahia Univ., Fac. Sci. Arts, Targoviste.","1844-9581","N","N","N"
"J. Sci. Comput.","Journal of Scientific Computing","","Springer, New York.","0885-7474","N","Y","N"
"J. Sci. Ferdowsi Univ. Mashhad","Journal of Science. Ferdowsi University of Mashhad","","Ferdowsi Univ. of Mashhad, Mashhad.","1561-8943","N","N","N"
"J. Sci. Islam. Repub. Iran","Islamic Republic of Iran. Journal of Sciences","","Univ. Tehran, Tehran.","1016-1104","N","N","N"
"J. SFdS","Journal de la SFdS. Journal de la Societe Francaise de Statistique","","Soc. Fr. Stat., Paris.","2102-6238","N","N","N"
"J. Shaanxi Normal Univ. Nat. Sci. Ed.","Shaanxi Normal University. Journal. Natural Science Edition. Shaanxi Shifan Daxue Xuebao. Ziran Kexue Ban","","J. Shaanxi Norm. Univ., Editor. Dept., Xi'an.","1672-4291","N","N","N"
"J. Shandong Univ. Nat. Sci.","Journal of Shandong University. Natural Science. Shandong Daxue Xuebao. Lixue Ban","","J. Shandong Univ., Editor. Board, Jinan.","1671-9352","N","N","N"
"J. Shanghai Jiaotong Univ. (Chin. Ed.)","Journal of Shanghai Jiaotong University. Chinese Edition. Shanghai Jiaotong Daxue Xuebao","","Shanghai Jiaotong Univ. Press, Shanghai.","1006-2467","N","N","N"
"J. Shanghai Univ. Nat. Sci.","Journal of Shanghai University. Natural Science Edition. Shanghai Daxue Xuebao. Ziran Kexue Ban","","J. Shanghai Univ., Ed. Board, Shanghai.","1007-2861","N","N","N"
"J. Sichuan Univ. Eng. Sci. Ed.","Journal of Sichuan University. Engineering Science Edition. Sichuan Daxue Xuebao. Gongcheng Kexue Ban","","J. Sichuan Univ., Editor. Dep., Chengdu.","1009-3087","N","N","N"
"J. Singul.","Journal of Singularities","","Worldw. Cent. Math., Cambridge, MA.","1949-2006","N","Y","N"
"J. Softw.","Journal of Software. Ruanjian Xuebao","","Sci. Press Beijing, Beijing.","1000-9825","N","N","N"
"J. Softw. Algebra Geom.","Journal of Software for Algebra and Geometry","","Math. Sci. Publ., Berkeley, CA.","1948-7916","Y","N","N"
"J. South China Normal Univ. Natur. Sci. Ed.","Journal of South China Normal University. Natural Science Edition. Huanan Shifan Daxue Xuebao. Ziran Kexue Ban","","J. South China Normal Univ., Editor. Dept., Guangzhou.","1000-5463","N","N","N"
"J. Southeast Univ. (English Ed.)","Journal of Southeast University. English Edition. Dongnan Daxue Xuebao. Yingwen Ban","","J. Southeast Univ., Editor. Dept., Nanjing.","1003-7985","N","N","N"
"J. Southeast Univ. Nat. Sci.","Journal of Southeast University. Natural Science Edition. Dongnan Daxue Xuebao. Ziran Kexue Ban","","J. Southeast Univ., Editor. Dept., Nanjing.","1001-0505","N","N","N"
"J. Spectr. Theory","Journal of Spectral Theory","","Eur. Math. Soc., Zurich.","1664-039X","N","Y","N"
"J. Stat. Comput. Simul.","Journal of Statistical Computation and Simulation","","Taylor & Francis, Abingdon.","0094-9655","N","N","N"
"J. Stat. Mech. Theory Exp.","Journal of Statistical Mechanics: Theory and Experiment","","IOP, Bristol.","1742-5468","N","N","N"
"J. Stat. Phys.","Journal of Statistical Physics","","Springer, New York.","0022-4715","N","N","N"
"J. Stat. Theory Appl.","Journal of Statistical Theory and Applications","","Atlantis Press, Paris.","1538-7887","N","N","N"
"J. Stat. Theory Pract.","Journal of Statistical Theory and Practice","","Taylor & Francis, Basingstoke.","1559-8608","N","N","N"
